QUALITY_SYSTEM_LEVEL_ID;QSL_APPROVAL_TEMPLATE;QUALIFIED_MANUFACTURER;QUALIFIED_MANUFACTURER_DB;QMR_APPROVAL_TEMPLATE;QUALIFIED_SUPPLIER;QUALIFIED_SUPPLIER_DB;QSR_APPROVAL_TEMPLATE;ACQUISITION_ORIGIN;ACQUISITION_REASON_ID;PACKAGE_PART_FLAG;PACKAGE_PART_FLAG_DB;NBS_CODE;OWN_PRODUCTION;OWN_PRODUCTION_DB;PART_CATALOG_DESCRIPTION;PART_CAT_LANG_DESCRIPTION;STD_NAME_ID;CONTRACT;PART_NO;DESCRIPTION;ENG_ATTRIBUTE;NOTE_ID;QC_CODE;STAT_GRP;CLOSE_CODE;CLOSE_CODE_DB;CLOSE_TOLERANCE;DATE_CRE;INVENTORY_FLAG;INVENTORY_FLAG_DB;NOTE_TEXT;QC_DATE;DEFAULT_BUY_UNIT_MEAS;OVER_DELIVERY_TOLERANCE;OVER_DELIVERY;OVER_DELIVERY_DB;BUYER_CODE;PROCESS_TYPE;STD_NAME_DESCRIPTION;STANDARD_PACK_SIZE;TECHNICAL_COORDINATOR_ID;TAXABLE;TAXABLE_DB;DOP_PEGGED_PO_UPDATE_FLAG;DOP_PEGGED_PO_UPDATE_FLAG_DB;ACQUISITION_TYPE;ACQUISITION_TYPE_DB;ACTION_NON_AUTHORIZED;ACTION_NON_AUTHORIZED_DB;ACTION_AUTHORIZED;ACTION_AUTHORIZED_DB;EXTERNAL_RESOURCE;EXTERNAL_RESOURCE_DB;COMPANY;STATISTICAL_CODE;STATISTICAL_CODE_MANUF
;;False;FALSE;;False;FALSE;;;;False;FALSE;;False;FALSE;ALBE 5% Lingot;;0;SJ;ALBE;ALBE 5% Lingot;;170677;;;Automatic;Y;0;03/09/2026 00:00;Inventory Part;Y;;;kg;;;;;;*;1;;True;TRUE;Planned;PLANNED;Purchase Only;PURCHASE;None;NONE;Warning;WARNING;False;FALSE;TRIMET;;
;;False;FALSE;;False;FALSE;;;;False;FALSE;;False;FALSE;DECHETS ACHETES 1000;;0;CS;DC1000;DECHETS ACHETES 1000;;170829;;;Automatic;Y;0;03/09/2026 00:00;Inventory Part;Y;;;kg;;;;;;*;1;;True;TRUE;Planned;PLANNED;Purchase Only;PURCHASE;None;NONE;Warning;WARNING;False;FALSE;TRIMET;;
