CONSIDER_LEAD_TIME_DB;ENGINEERING_INFO_DB;STRUCTURE_EFFECTIVITY;STRUCTURE_EFFECTIVITY_DB;ROUTING_EFFECTIVITY;ROUTING_EFFECTIVITY_DB;PROMISE_PLANNED;PROMISE_PLANNED_DB;DEFAULT_PRINT_UNIT;PROCESS_TYPE;CONFIGURATION_USAGE;CONFIGURATION_USAGE_DB;MANUF_ENGINEER;FIXED_LEADTIME_DAY;VARIABLE_LEADTIME_DAY;FIXED_LEADTIME_HOUR;VARIABLE_LEADTIME_HOUR;LEADTIME_SOURCE;LEADTIME_SOURCE_DB;LOT_BATCH_STRING;OVERHAUL_SCRAP_RULE;OVERHAUL_SCRAP_RULE_DB;DOP_PEGGED_SO_UPDATE_FLAG;DOP_PEGGED_SO_UPDATE_FLAG_DB;MRP_CONTROL_FLAG;MRP_CONTROL_FLAG_DB;PROD_PART_AS_SUPPLY_IN_MRP;PROD_PART_AS_SUPPLY_IN_MRP_DB;CLOSE_TOLERANCE;USE_THEORITICAL_DENSITY;USE_THEORITICAL_DENSITY_DB;ISSUE_TYPE;ISSUE_TYPE_DB;OVER_REPORTING;OVER_REPORTING_DB;OVER_REPORT_TOLERANCE;ISSUE_PLANNED_SCRAP;ISSUE_PLANNED_SCRAP_DB;COMPONENT_SCRAP;SHRINKAGE_FACTOR;UNPROTECTED_LEAD_TIME;ADJUST_ON_OP_QTY_DEVIATION;ADJUST_ON_OP_QTY_DEVIATION_DB;ISSUE_OVERREPORTED_QTY;ISSUE_OVERREPORTED_QTY_DB;CREATED_FROM_CONTRACT;CREATED_FROM_PART_NO;CREATED_FROM_CONFIG_ID;PLAN_MANUF_SUP_ON_DUE_DATE;PLAN_MANUF_SUP_ON_DUE_DATE_DB;RUN_MRP;RUN_CRP;INCLUDE_FIRM_DEMANDS;INCLUDE_FIRM_SUPPLIES;OPTIMIZE_NEW_DELIVERY_DATE;RUN_IN_BACKGROUND;SHIP_DIRTY;SHIP_DIRTY_DB;SHIP_DIRTY_REPAIR_CODE;AUTO_REPLACE_ALT_COMP;AUTO_REPLACE_ALT_COMP_DB;CONSIDER_LEAD_TIME;CONTRACT;PART_NO;CUM_LEADTIME;ORDER_GAP_TIME;DENSITY;LOW_LEVEL;BACKFLUSH_PART;BACKFLUSH_PART_DB;ENGINEERING_INFO
TRUE;0;Date;DATE;Date;DATE;Promised;Promised;kg;;Common;Common;;0;0;0;0;;;;Direct Scrap;DIRECT;Planned;PLANNED;True;TRUE;True;TRUE;0;False;FALSE;Reserve And Backflush;RESERVE_AND_BACKFLUSH;Allowed;ALLOWED;;True;TRUE;0;0;0;False;FALSE;False;FALSE;;;;False;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE;False;FALSE;;False;FALSE;True;CS;DC1000;0;0;;0;All Locations;Y;Not Mandatory
TRUE;0;Date;DATE;Date;DATE;Promised;Promised;kg;;Common;Common;;0;0;0;0;;;;Direct Scrap;DIRECT;Planned;PLANNED;True;TRUE;True;TRUE;0;False;FALSE;Reserve And Backflush;RESERVE_AND_BACKFLUSH;Allowed;ALLOWED;;True;TRUE;0;0;0;False;FALSE;False;FALSE;;;;False;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE;False;FALSE;;False;FALSE;True;SJ;ALBE;0;0;;0;All Locations;Y;Not Mandatory
