table_cible;variante;colonne;type_valeur_defaut;valeur_par_defaut;regle_sql;script_source;ligne_insert
clean_data.jt_task;STANDARD;adjusted_duration;CONSTANTE_FORCEE;FALSE;'FALSE';create_alimenter_jt_task.sql;40
clean_data.jt_task;STANDARD;appointment_required;CONSTANTE_FORCEE;FALSE;'FALSE';create_alimenter_jt_task.sql;40
clean_data.jt_task;STANDARD;company;CONSTANTE_FORCEE;TRIM;'TRIM';create_alimenter_jt_task.sql;40
clean_data.jt_task;STANDARD;exclude_from_scheduling;CONSTANTE_FORCEE;False;'False';create_alimenter_jt_task.sql;40
clean_data.jt_task;STANDARD;exclude_from_scheduling_db;CONSTANTE_FORCEE;FALSE;'FALSE';create_alimenter_jt_task.sql;40
clean_data.jt_task;STANDARD;fixed_start;NULL_EXPLICITE;;NULL::timestamp;create_alimenter_jt_task.sql;40
clean_data.jt_task;STANDARD;objtype;CONSTANTE_FORCEE;JtTask;'JtTask';create_alimenter_jt_task.sql;40
clean_data.jt_task;STANDARD;objversion;CONSTANTE_FORCEE;1;'1';create_alimenter_jt_task.sql;40
clean_data.jt_task;STANDARD;remotely_fulfilled;CONSTANTE_FORCEE;FALSE;'FALSE';create_alimenter_jt_task.sql;40
clean_data.jt_task;STANDARD;scheduled_manually;CONSTANTE_FORCEE;FALSE;'FALSE';create_alimenter_jt_task.sql;40
clean_data.jt_task_resource;STANDARD;crew_time_invoicing;CONSTANTE_FORCEE;FALSE;'FALSE'::varchar(20);create_alimenter_jt_task_resource.sql;85
clean_data.jt_task_resource;STANDARD;offset_value;CONSTANTE_FORCEE;0;0::numeric;create_alimenter_jt_task_resource.sql;85
clean_data.jt_task_resource;STANDARD;sourcing_option_db;CONSTANTE_FORCEE;INTERNALLY_SOURCED;'INTERNALLY_SOURCED'::varchar(20);create_alimenter_jt_task_resource.sql;85
clean_data.maint_material_req_line;STANDARD;buy_unit_meas;NULL_EXPLICITE;;NULL;create_clean_data_maint_material_req_line.sql;216
clean_data.maint_material_req_line;STANDARD;catalog_no;NULL_EXPLICITE;;NULL;create_clean_data_maint_material_req_line.sql;216
clean_data.maint_material_req_line;STANDARD;cf_alt_on_hand_qty;NULL_EXPLICITE;;NULL;create_clean_data_maint_material_req_line.sql;216
clean_data.maint_material_req_line;STANDARD;cf_ecartqtedispo;NULL_EXPLICITE;;NULL;create_clean_data_maint_material_req_line.sql;216
clean_data.maint_material_req_line;STANDARD;cf_on_supply_qty;NULL_EXPLICITE;;NULL;create_clean_data_maint_material_req_line.sql;216
clean_data.maint_material_req_line;STANDARD;change_reason;NULL_EXPLICITE;;NULL;create_clean_data_maint_material_req_line.sql;216
clean_data.maint_material_req_line;STANDARD;changes_line_item_no;NULL_EXPLICITE;;NULL;create_clean_data_maint_material_req_line.sql;216
clean_data.maint_material_req_line;STANDARD;condition_code;NULL_EXPLICITE;;NULL;create_clean_data_maint_material_req_line.sql;216
clean_data.maint_material_req_line;STANDARD;consumed_qty;NULL_EXPLICITE;;NULL;create_clean_data_maint_material_req_line.sql;216
clean_data.maint_material_req_line;STANDARD;delivery;NULL_EXPLICITE;;NULL;create_clean_data_maint_material_req_line.sql;216
clean_data.maint_material_req_line;STANDARD;delivery_db;NULL_EXPLICITE;;NULL;create_clean_data_maint_material_req_line.sql;216
clean_data.maint_material_req_line;STANDARD;discount;NULL_EXPLICITE;;NULL;create_clean_data_maint_material_req_line.sql;216
clean_data.maint_material_req_line;STANDARD;external_id;NULL_EXPLICITE;;NULL;create_clean_data_maint_material_req_line.sql;216
clean_data.maint_material_req_line;STANDARD;fbuy_unit_price;NULL_EXPLICITE;;NULL;create_clean_data_maint_material_req_line.sql;216
clean_data.maint_material_req_line;STANDARD;generated;NULL_EXPLICITE;;NULL;create_clean_data_maint_material_req_line.sql;216
clean_data.maint_material_req_line;STANDARD;is_closed;NULL_EXPLICITE;;NULL;create_clean_data_maint_material_req_line.sql;216
clean_data.maint_material_req_line;STANDARD;job_id;NULL_EXPLICITE;;NULL;create_clean_data_maint_material_req_line.sql;216
clean_data.maint_material_req_line;STANDARD;list_price;NULL_EXPLICITE;;NULL;create_clean_data_maint_material_req_line.sql;216
clean_data.maint_material_req_line;STANDARD;list_price_curr;NULL_EXPLICITE;;NULL;create_clean_data_maint_material_req_line.sql;216
clean_data.maint_material_req_line;STANDARD;manual_line;NULL_EXPLICITE;;NULL;create_clean_data_maint_material_req_line.sql;216
clean_data.maint_material_req_line;STANDARD;markup;NULL_EXPLICITE;;NULL;create_clean_data_maint_material_req_line.sql;216
clean_data.maint_material_req_line;STANDARD;mobile_created;NULL_EXPLICITE;;NULL;create_clean_data_maint_material_req_line.sql;216
