Owner;Table Name;Tablespace Name;Cluster Name;Iot Name;Status;Pct Free;Pct Used;Ini Trans;Max Trans;Initial Extent;Next Extent;Min Extents;Max Extents;Pct Increase;Freelists;Freelist Groups;Logging;Backed Up;Num Rows;Blocks;Empty Blocks;Avg Space;Chain Cnt;Avg Row Len;Avg Space Freelist Blocks;Num Freelist Blocks;Degree;Instances;Cache;Table Lock;Sample Size;Last Analyzed;Partitioned;Iot Type;Temporary;Secondary;Nested;Buffer Pool;Flash Cache;Cell Flash Cache;Row Movement;Global Stats;User Stats;Duration;Skip Corrupt;Monitoring;Cluster Owner;Dependencies;Compression;Compress For;Dropped;Read Only;Segment Created;Result Cache;Clustering;Activity Tracking;Dml Timestamp;Has Identity;Container Data;Inmemory;Inmemory Priority;Inmemory Distribute;Inmemory Compression;Inmemory Duplicate;Default Collation;Duplicated;Sharded;External;Hybrid;Cellmemory;Containers Default;Container Map;Extended Data Link;Extended Data Link Map;Inmemory Service;Inmemory Service Name;Container Map Object;Memoptimize Read;Memoptimize Write;Has Sensitive Column;Admit Null;Data Link Dml Enabled;Logical Replication
SYS;DUAL;SYSTEM;;;VALID;10;40;1;255;16384;1048576;1;2147483645;;1;1;YES;N;1;1;0;0;0;2;0;0;         1;         1;    N;ENABLED;1;20/08/2026 00:01;NO;;N;N;NO;DEFAULT;DEFAULT;DEFAULT;DISABLED;YES;NO;;DISABLED;YES;;DISABLED;DISABLED;;NO;NO;YES;DEFAULT;NO;;;NO;NO;DISABLED;;;;;USING_NLS_COMP;N;N;NO;NO;;NO;NO;NO;NO;;;NO;DISABLED;DISABLED;NO;NO;NO;ENABLED
SYS;PENDING_TRANS$;SYSTEM;;;VALID;10;40;1;255;;;;;;;;YES;N;0;0;0;0;0;0;0;0;         1;         1;    N;ENABLED;0;24/02/2026 23:38;NO;;N;N;NO;DEFAULT;DEFAULT;DEFAULT;DISABLED;YES;NO;;DISABLED;YES;;DISABLED;DISABLED;;NO;NO;NO;DEFAULT;NO;;;NO;NO;DISABLED;;;;;USING_NLS_COMP;N;N;NO;NO;;NO;NO;NO;NO;;;NO;DISABLED;DISABLED;NO;NO;NO;ENABLED
