table_cible;variante;colonne;type_valeur_defaut;valeur_par_defaut;regle_sql;script_source;ligne_insert
clean_data.activity;STANDARD;exclude_from_integrations;CONSTANTE_FORCEE;FALSE;'FALSE';alimenter_activity.sql;28
clean_data.activity;STANDARD;exclude_from_integrations_db;CONSTANTE_FORCEE;FALSE;'FALSE';alimenter_activity.sql;28
clean_data.activity;STANDARD;exclude_periodical_cap;CONSTANTE_FORCEE;INCLUDE;'INCLUDE';alimenter_activity.sql;28
clean_data.activity;STANDARD;exclude_periodical_cap_db;CONSTANTE_FORCEE;INCLUDE;'INCLUDE';alimenter_activity.sql;28
clean_data.activity;STANDARD;exclude_resource_progress;CONSTANTE_FORCEE;FALSE;'FALSE';alimenter_activity.sql;28
clean_data.activity;STANDARD;exclude_resource_progress_db;CONSTANTE_FORCEE;FALSE;'FALSE';alimenter_activity.sql;28
clean_data.activity;STANDARD;mandatory_invoice_comment;CONSTANTE_FORCEE;INHERIT;'INHERIT';alimenter_activity.sql;28
clean_data.activity;STANDARD;mandatory_invoice_comment_db;CONSTANTE_FORCEE;INHERIT;'INHERIT';alimenter_activity.sql;28
clean_data.activity;STANDARD;node_type;CONSTANTE_FORCEE;ACTIVITY;'ACTIVITY';alimenter_activity.sql;28
clean_data.activity;STANDARD;node_type_db;CONSTANTE_FORCEE;ACTIVITY;'ACTIVITY';alimenter_activity.sql;28
clean_data.activity;STANDARD;planned_cost_driver;CONSTANTE_FORCEE;CONNECTED_OBJECTS;'CONNECTED_OBJECTS';alimenter_activity.sql;28
clean_data.activity;STANDARD;planned_cost_driver_db;CONSTANTE_FORCEE;CONNECTED_OBJECTS;'CONNECTED_OBJECTS';alimenter_activity.sql;28
clean_data.activity;STANDARD;progress_method;CONSTANTE_FORCEE;ALL_CONNECTED_OBJECTS;'ALL_CONNECTED_OBJECTS';alimenter_activity.sql;28
clean_data.activity;STANDARD;progress_method_db;CONSTANTE_FORCEE;ALL_CONNECTED_OBJECTS;'ALL_CONNECTED_OBJECTS';alimenter_activity.sql;28
clean_data.activity;STANDARD;sub_project_id;CONSTANTE_FORCEE;10;'10';alimenter_activity.sql;28
clean_data.project_activity;STANDARD;exclude_from_integrations_db;CONSTANTE_FORCEE;FALSE;'FALSE';alimenter_project_activity.sql;27
clean_data.project_activity;STANDARD;exclude_periodical_cap_db;CONSTANTE_FORCEE;INCLUDE;'INCLUDE';alimenter_project_activity.sql;27
clean_data.project_activity;STANDARD;exclude_resource_progress_db;CONSTANTE_FORCEE;FALSE;'FALSE';alimenter_project_activity.sql;27
clean_data.project_activity;STANDARD;mandatory_invoice_comment_db;CONSTANTE_FORCEE;INHERIT;'INHERIT';alimenter_project_activity.sql;27
clean_data.project_activity;STANDARD;node_type_db;CONSTANTE_FORCEE;ACTIVITY;'ACTIVITY';alimenter_project_activity.sql;27
clean_data.project_activity;STANDARD;planned_cost_driver_db;CONSTANTE_FORCEE;CONNECTED_OBJECTS;'CONNECTED_OBJECTS';alimenter_project_activity.sql;27
clean_data.project_activity;STANDARD;progress_method_db;CONSTANTE_FORCEE;ALL_CONNECTED_OBJECTS;'ALL_CONNECTED_OBJECTS';alimenter_project_activity.sql;27
clean_data.project_activity;STANDARD;sub_project_id;CONSTANTE_FORCEE;10;'10';alimenter_project_activity.sql;27
clean_data.project_activity;STANDARD;task_id;NULL_EXPLICITE;;NULL::NUMERIC;alimenter_project_activity.sql;27
clean_data.project_base;STANDARD;baseline_revision_number;CONSTANTE_FORCEE;0;'0';alimenter_ifs_project_base.sql;19
clean_data.project_base;STANDARD;category2_id;CONSTANTE_FORCEE;MECA;'MECA';alimenter_ifs_project_base.sql;19
clean_data.project_base;STANDARD;earned_value_method;CONSTANTE_FORCEE;Planned;'Planned';alimenter_ifs_project_base.sql;19
clean_data.project_base;STANDARD;material_allocation;CONSTANTE_FORCEE;Within Project;'Within Project';alimenter_ifs_project_base.sql;19
clean_data.project_base;STANDARD;multi_currency_budgeting;CONSTANTE_FORCEE;FALSE;'FALSE';alimenter_ifs_project_base.sql;19
clean_data.project_base;STANDARD;program_id;CONSTANTE_FORCEE;CAPEX;'CAPEX';alimenter_ifs_project_base.sql;19
clean_data.project_base;STANDARD;project_misc_comp_method;CONSTANTE_FORCEE;Manually Planned;'Manually Planned';alimenter_ifs_project_base.sql;19
clean_data.project_base;STANDARD;work_day_to_hours_conv;CONSTANTE_FORCEE;7;7;alimenter_ifs_project_base.sql;19
clean_data.project_margin_matrix;STANDARD;objversion;CONSTANTE_FORCEE;1;'1';alimenter_ifs_project_margin_matrix.sql;18
clean_data.project_site_ext;STANDARD;auto_trans_from_std_inv_db;CONSTANTE_FORCEE;FALSE;'FALSE';alimenter_ifs_project_site_ext.sql;18
clean_data.project_site_ext;STANDARD;project_site_type_db;CONSTANTE_FORCEE;DEFAULTSITE;'DEFAULTSITE';alimenter_ifs_project_site_ext.sql;18
clean_data.project_site_ext;STANDARD;use_std_inv_in_pmrp_db;CONSTANTE_FORCEE;FALSE;'FALSE';alimenter_ifs_project_site_ext.sql;18
clean_data.sub_project;STANDARD;exclude_from_integrations_db;CONSTANTE_FORCEE;FALSE;'FALSE';alimenter_sub_project.sql;22
clean_data.sub_project;STANDARD;financially_completed_db;CONSTANTE_FORCEE;FALSE;'FALSE';alimenter_sub_project.sql;22
