table_cible;variante;colonne;type_valeur_defaut;valeur_par_defaut;regle_sql;script_source;ligne_insert
clean_data.inventory_part;STANDARD;abc_class;NULL_EXPLICITE;;NULL;ajouter_article_silicium.sql;87
clean_data.inventory_part;STANDARD;asset_class;CONSTANTE_FORCEE;S;'S';ajouter_article_silicium.sql;87
clean_data.inventory_part;STANDARD;automatic_capability_check_db;CONSTANTE_FORCEE;NO AUTOMATIC CAPABILITY CHECK;'NO AUTOMATIC CAPABILITY CHECK';ajouter_article_silicium.sql;87
clean_data.inventory_part;STANDARD;avail_activity_status_db;CONSTANTE_FORCEE;CHANGED;'CHANGED';ajouter_article_silicium.sql;87
clean_data.inventory_part;STANDARD;c_spire_code;CONSTANTE_FORCEE;S;'S';alimenter_inventory_part_phl.sql;23
clean_data.inventory_part;STANDARD;co_reserve_onh_analys_flag_db;CONSTANTE_FORCEE;N;'N';ajouter_article_silicium.sql;87
clean_data.inventory_part;STANDARD;company;CONSTANTE_FORCEE;SJM;'SJM';alimenter_inventory_part_phl.sql;23
clean_data.inventory_part;STANDARD;contract;CONSTANTE_FORCEE;SJ;'SJ';alimenter_inventory_part_phl.sql;23
clean_data.inventory_part;STANDARD;count_variance;CONSTANTE_FORCEE;0;0;ajouter_article_silicium.sql;87
clean_data.inventory_part;STANDARD;country_of_origin;NULL_EXPLICITE;;NULL;ajouter_article_silicium.sql;87
clean_data.inventory_part;STANDARD;cycle_code_db;CONSTANTE_FORCEE;N;'N';ajouter_article_silicium.sql;87
clean_data.inventory_part;STANDARD;cycle_period;CONSTANTE_FORCEE;0;0;ajouter_article_silicium.sql;87
clean_data.inventory_part;STANDARD;dop_connection_db;CONSTANTE_FORCEE;AUT;'AUT';ajouter_article_silicium.sql;87
clean_data.inventory_part;STANDARD;dop_netting_db;CONSTANTE_FORCEE;NONET;'NONET';ajouter_article_silicium.sql;87
clean_data.inventory_part;STANDARD;excl_ship_pack_proposal_db;CONSTANTE_FORCEE;FALSE;'FALSE';ajouter_article_silicium.sql;87
clean_data.inventory_part;STANDARD;expected_leadtime;CONSTANTE_FORCEE;0;0;ajouter_article_silicium.sql;87
clean_data.inventory_part;STANDARD;ext_service_cost_method_db;CONSTANTE_FORCEE;EXCLUDE SERVICE COST;'EXCLUDE SERVICE COST';ajouter_article_silicium.sql;87
clean_data.inventory_part;STANDARD;forecast_consumption_flag_db;CONSTANTE_FORCEE;FORECAST;'FORECAST';ajouter_article_silicium.sql;87
